area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,mixed gear,Direct human consumption,158.2936931525,31155.246393406025
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,mixed gear,Fishmeal and fish oil,0.0792260726,0.0011596131695569382
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,mixed gear,Other,0.0792260726,0.0011596131695569382
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,44.7550876981,8808.662915265937
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale seine nets,Fishmeal and fish oil,0.0223999438,0.00032786264610932717
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale seine nets,Other,0.0223999438,0.00032786264610932717
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,31.6369025962,6226.7515267310055
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.0158342856,0.000231762669528566
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale gillnets,Other,0.0158342856,0.000231762669528566
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale other nets,Direct human consumption,8.3014940492,1633.8938550534058
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale other nets,Fishmeal and fish oil,0.0041549019,6.081431063177492e-05
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale other nets,Other,0.0041549019,6.081431063177492e-05
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,0.0182450419,3.590975505611874
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale pots or traps,Fishmeal and fish oil,0.0000091317,1.3365782556434056e-07
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale pots or traps,Other,0.0000091317,1.3365782556434056e-07
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Landings,Reported,small scale longline,Direct human consumption,2.0454901792,402.59184847700794
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.4611236458
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,27.5608883241,5424.513443700885
"Gulf of Alaska",lme,1950,"Miscellaneous marine crustaceans","Marine crabs, shrimps, lobsters nei","Shrimps","Crustaceans","United States of America",Industrial,Discards,Unreported,bottom trawl,,0.9139854252
"Gulf of Alaska",lme,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.0305844729,63.07948865728101
"Gulf of Alaska",lme,1950,"Marine groundfishes not identified","Groundfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Discards,Unreported,bottom trawl,,118.3400576100
"Gulf of Alaska",lme,1950,"Marine groundfishes not identified","Groundfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Discards,Unreported,longline,,855.6177566015
"Gulf of Alaska",lme,1950,"Mollusca","Clams, seasnails, squids, octopuses","Other demersal invertebrates","Molluscs","United States of America",Industrial,Discards,Unreported,bottom trawl,,0.1962922484
"Gulf of Alaska",lme,1950,"Mollusca","Clams, seasnails, squids, octopuses","Other demersal invertebrates","Molluscs","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.0814109612,0.011894465765817631
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Industrial,Discards,Unreported,bottom trawl,,1.5444783342
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.3060134336,461.2974704951293
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0001531599,2.2417646626115876e-06
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Industrial,Landings,Reported,bottom trawl,Other,0.0001531599,2.2417646626115876e-06
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.8630419388,1300.9855766000705
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.0004319529,6.3223921194690095e-06
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale gillnets,Other,0.0004319529,6.3223921194690095e-06
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale lines,Direct human consumption,0.0746863216,112.58529028269842
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.0000373805,5.471300872617409e-07
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale lines,Other,0.0000373805,5.471300872617409e-07
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale longline,Direct human consumption,0.3651331280,550.4169747154147
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale longline,Fishmeal and fish oil,0.0001827493,2.6748582043907312e-06
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,small scale longline,Other,0.0001827493,2.6748582043907312e-06
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.0823335839
"Gulf of Alaska",lme,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.1561452643,235.37991323636186
"Gulf of Alaska",lme,1950,"Chondrichthyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.0039105993,5.895001166510384
"Gulf of Alaska",lme,1950,"Chondrichthyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,mixed gear,Direct human consumption,0.7970330417,1201.4809995789042
"Gulf of Alaska",lme,1950,"Chondrichthyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,mixed gear,Fishmeal and fish oil,0.0003989154,5.838830299165216e-06
"Gulf of Alaska",lme,1950,"Chondrichthyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","United States of America",Artisanal,Landings,Reported,mixed gear,Other,0.0003989154,5.838830299165216e-06
"Gulf of Alaska",lme,1950,"Chondrichthyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.0398208678
"Gulf of Alaska",lme,1950,"Chondrichthyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.1850807911,278.99853859197054
"Gulf of Alaska",lme,1950,"Cephalopoda","Squids, cuttlefishes, octopuses","Cephalopods","Other fishes & inverts","United States of America",Industrial,Discards,Unreported,bottom trawl,,1.3950638146
"Gulf of Alaska",lme,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Canada",Artisanal,Landings,Reported,other,Direct human consumption,1768.1109325769,9311574.738669517
"Gulf of Alaska",lme,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Canada",Artisanal,Landings,Reported,other,Fishmeal and fish oil,0.8849404067,0.011178606154750916
"Gulf of Alaska",lme,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Canada",Artisanal,Landings,Reported,other,Other,0.8849404067,0.011178606154750916
"Gulf of Alaska",lme,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,1.0626138926,6517.709610183025
"Gulf of Alaska",lme,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","United States of America",Artisanal,Landings,Reported,hand or tools,Direct human consumption,9.0124587991,55279.334983923654
"Gulf of Alaska",lme,1950,"Gastropoda","Sea snails","Other demersal invertebrates","Molluscs","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.6449580556,1975.931588394424
"Gulf of Alaska",lme,1950,"Echinoidea","Sea urchins, sea hedgehogs","Other demersal invertebrates","Other fishes & inverts","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.7904846752,0.11549296034466627
"Gulf of Alaska",lme,1950,"Malacostraca","Lobsters, crabs, shrimps, krill","Shrimps","Crustaceans","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.0068339124,42.043290925830085
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,bottom trawl,Direct human consumption,158.0873020885,19.933687322041987
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0791227738,0.2649103268293535
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,bottom trawl,Other,0.0791227738,0.2649103268293535
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,pelagic trawl,Direct human consumption,0.0017967908,0.00022656257441183307
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,pelagic trawl,Fishmeal and fish oil,0.0000008993,3.010921394777357e-06
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,pelagic trawl,Other,0.0000008993,3.010921394777357e-06
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,longline,Direct human consumption,39.7951715847,5.017888829888341
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,longline,Fishmeal and fish oil,0.0199175033,0.06668563364336498
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,longline,Other,0.0199175033,0.06668563364336498
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0001800748,2.2706161091934882e-05
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0000000901,3.017553380228494e-07
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,purse seine,Other,0.0000000901,3.017553380228494e-07
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","United States of America",Industrial,Landings,Reported,bottom trawl,Direct human consumption,34.4119212170,105260.27805725105
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","United States of America",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0172231838,0.06681626949950246
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","United States of America",Industrial,Landings,Reported,bottom trawl,Other,0.0172231838,0.06681626949950246
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","United States of America",Artisanal,Discards,Unreported,small scale longline,,11.6757286241
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.0217017577
"Gulf of Alaska",lme,1950,"Rajiformes","Skates and rays","Large rays (>=90 cm)","Sharks & rays","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.8238936423,2520.1520522790433
"Gulf of Alaska",lme,1950,"Clupeiformes","Herrings, shads, anchovies","Small pelagics (<30 cm)","Other fishes & inverts","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.0338803994,24.51153687871234
"Gulf of Alaska",lme,1950,"Pleuronectoidei","Flounders, halibuts, soles, turbots","Large flatfishes (>=90 cm)","Flatfishes","Canada",Industrial,Landings,Unreported,bottom trawl,Direct human consumption,36.2118948495,4.566063053342511
"Gulf of Alaska",lme,1950,"Pleuronectoidei","Flounders, halibuts, soles, turbots","Large flatfishes (>=90 cm)","Flatfishes","Canada",Industrial,Landings,Unreported,bottom trawl,Fishmeal and fish oil,0.0181240715,0.0002289440685998605
"Gulf of Alaska",lme,1950,"Pleuronectoidei","Flounders, halibuts, soles, turbots","Large flatfishes (>=90 cm)","Flatfishes","Canada",Industrial,Landings,Unreported,bottom trawl,Other,0.0181240715,0.0002289440685998605
"Gulf of Alaska",lme,1950,"Pleuronectoidei","Flounders, halibuts, soles, turbots","Large flatfishes (>=90 cm)","Flatfishes","Canada",Industrial,Landings,Unreported,longline,Direct human consumption,261.8178566874,33.01337439240795
"Gulf of Alaska",lme,1950,"Pleuronectoidei","Flounders, halibuts, soles, turbots","Large flatfishes (>=90 cm)","Flatfishes","Canada",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.1310399683,0.001655302645476055
"Gulf of Alaska",lme,1950,"Pleuronectoidei","Flounders, halibuts, soles, turbots","Large flatfishes (>=90 cm)","Flatfishes","Canada",Industrial,Landings,Unreported,longline,Other,0.1310399683,0.001655302645476055
"Gulf of Alaska",lme,1950,"Gadiformes","Cods","Medium benthopelagics (30 - 89 cm)","Cod-likes","United States of America",Industrial,Discards,Unreported,bottom trawl,,3.5736791971
"Gulf of Alaska",lme,1950,"Gadiformes","Cods","Medium benthopelagics (30 - 89 cm)","Cod-likes","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.1735300073
"Gulf of Alaska",lme,1950,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","United States of America",Industrial,Discards,Unreported,bottom trawl,,1.6254390989
"Gulf of Alaska",lme,1950,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.0085928075
"Gulf of Alaska",lme,1950,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.1901112599,0.027776012481283585
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.2743189655,660.2882408867698
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0001372968,2.0095802856812683e-06
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Industrial,Landings,Reported,bottom trawl,Other,0.0001372968,2.0095802856812683e-06
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0055983462,13.475270222178999
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0000028020,4.101184256492372e-08
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Industrial,Landings,Reported,purse seine,Other,0.0000028020,4.101184256492372e-08
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,8.8402766070,21278.62606265829
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Artisanal,Landings,Reported,small scale seine nets,Fishmeal and fish oil,0.0044245629,6.476127362873103e-05
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Artisanal,Landings,Reported,small scale seine nets,Other,0.0044245629,6.476127362873103e-05
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Recreational,Discards,Unreported,recreational fishing gear,,0.1493519391
"Gulf of Alaska",lme,1950,"Perciformes","Perch-likes","Medium demersals (30 - 89 cm)","Perch-likes","United States of America",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,4.7646183759,11468.479693576217
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Discards,Unreported,bottom trawl,,84.6752128273
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,bottom trawl,Direct human consumption,1734.1222651363,4361381.853563399
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.8679290616,0.01270367110795867
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,bottom trawl,Other,0.8679290616,0.012703671107958685
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0997654047,250.91369540693742
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0000499326,7.308520945782234e-07
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,purse seine,Other,0.0000499326,7.308520945782234e-07
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.0277980184,69.91304797181296
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,mixed gear,Fishmeal and fish oil,0.0000139129,2.036401299884339e-07
"Gulf of Alaska",lme,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","United States of America",Industrial,Landings,Reported,mixed gear,Other,0.0000139129,2.036401299884339e-07
