printed_name,accepted_name,group_name,source_page
Pellona sp.,,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 68
Opisthopterus tardoore,,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 69
Stolephorus devisi,,Anchovies,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 70
S. waitei,Stolephorus waitei,Anchovies,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 71
S.commersonii,Stolephorus commersonii,Anchovies,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 72
S. indicus,Stolephorus indicus,Anchovies,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 73
Bregmaceros mcclellandi,,Anchovies,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 74
Portunus sanguinolentus,,Crabs & Lobster,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 75
P . pelagicus,Portunus pelagicus,Crabs & Lobster,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 76
Charybdis cruciata,Charybdis feriatus,Crabs & Lobster,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 77
Panulirus sp.,,Crabs & Lobster,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 78
Metapenaeus monoceros,,Shrimps,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 79
M. dobsoni,Metapenaeus dobsoni,Shrimps,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 80
Parapenaeopsis stylifera,,Shrimps,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 81
Solenocera choprai,,Shrimps,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 82
Trachypenaeus sp.,,Shrimps,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 83
Aristeus sp.,,Shrimps,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 84
Cynoglossus macrostomus,,Benthic Omnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 85
Plotosus sp.,,Benthic Omnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 86
Fistularia sp.,,Benthic Omnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 87
Oratosquilla nepa,,Benthic Omnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 88
Bivalves,,Heterotrophic Benthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 89
Gastropods,,Heterotrophic Benthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 90
Echinoderms,,Heterotrophic Benthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 91
Benthic crabs,,Heterotrophic Benthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 92
Amphipods,,Heterotrophic Benthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 93
Isopods,,Heterotrophic Benthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 94
Annelids,,Meiobenthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 95
Polychaetes,,Meiobenthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 96
Foraminiferans,,Meiobenthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 97
Hydrozoans,,Meiobenthos,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 98
Jellyfish,,Micro Nekton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 99
Juvenile fishes,,Micro Nekton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 100
Leptocephalus,,Micro Nekton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 101
Eel elvers,,Micro Nekton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 102
Alima larva,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 103
Cypris,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 104
Calanus sp,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 105
Zoea of crab,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 106
Megalopa,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 107
Cladocerans,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 108
Sagitta,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 109
Mysids,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 110
Lucifer larva,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 111
Medusa,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 112
Siphonophores,,Large zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 113
Fish eggs,,Micro Zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 114
Decapod eggs and larvae,,Micro Zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 115
Bivalve larvae,,Micro Zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 116
Tintinnids,,Micro Zooplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 117
Fragilaria,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 118
Coscinodiscus,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 119
Thalassiothrix,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 120
Pleurosigma,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 121
Flavella,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 122
Asterionella,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 123
Skeletonema,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 124
Rhizosolenia,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 125
Chaetoceros,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 126
Nitzchia,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 127
Noctiluca,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 128
Ceratium,,Phytoplankton,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 129
