group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Seabirds,3.92938764796025,taxonomic,Phalacrocorax bougainvillii; Sula variegata; Pelecanus thagus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,not documented - no species list found for this source group.
Pinnipeds,3.748751632707471,taxonomic,Otaria flavescens; Arctocephalus australis,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,not documented - no species list found for this source group.
Cetaceans,4.211135921072626,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Cetaceans; no species list documented.
Green sea turtle,3.483659556323609,single stock,Chelonia mydas,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Leatherback turtle,4.036651412301057,single stock,Dermochelys coriacea,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Anchovy eggs,1,non-living,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Non-consuming egg/detritus or external input pool; no catch assignment.
Fishery offal,1,non-living,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Non-consuming egg/detritus or external input pool; no catch assignment.
Pelagic detritus,1,non-living,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Non-consuming egg/detritus or external input pool; no catch assignment.
Benthic detritus,1,non-living,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Non-consuming egg/detritus or external input pool; no catch assignment.
diet_import,1,non-living,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Non-consuming egg/detritus or external input pool; no catch assignment.
