group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Scad,3.527693905817174,taxonomic,Decapterus,Carangidae; Decapterus russelli; Decapterus; Megalaspis cordyla; Selaroides leptolepis; Alepes; Selar crumenophthalmus; Atule mate; Marine pelagic fishes not identified,"Christensen 1998 p.130 important components: Decapterus. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Cephalopods,3.381152128441404,taxonomic,,Loliginidae; Sepiidae; Octopodidae; Mollusca; Sepia; Sepioteuthis lessoniana; Cephalopoda; Octopus; Teuthida; Octopoda,Christensen 1998 pp.130-131: Cephalopods pool; individual species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Sm.dem.pisc.,3.344092797783933,feeding guild,Priacanthus,Marine fishes not identified; Priacanthus; Priacanthidae; Marine groundfishes not identified; Perciformes; Priacanthus tayenus,"Christensen 1998 p.130 important components: Priacanthus. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Med.dem.benth.,3.502054016620499,feeding guild,Plectorhynchus; Scolopsis; Upeneus; Pomadasys; Pampus; Arius; Tachysuridea,Nemipteridae; Marine fishes not identified; Sparidae; Ariidae; Mullidae; Scolopsis; Parastromateus niger; Sillago; Upeneus; Pomadasys; Balistidae; Terapon; Tetraodontidae; Marine groundfishes not identified; Plectorhinchus; Pampus argenteus; Plotosidae; Plotosus; Monacanthidae; Drepane; Pampus chinensis; Perciformes; Haemulidae; Pampus; Aluterus; Menidae; Stromateidae; Aluterus monoceros; Labridae; Netuma thalassina; Pomadasys argenteus,"Christensen 1998 p.130 important components: Plectorhynchus, Scolopsis, Upeneus, Pomadasys, Pampus, Arius, Tachysuridea. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Rays,3.389362880886426,taxonomic,,Batoidea; Himantura; Elasmobranchii; Chondrichthyes; Dasyatidae,Christensen 1998 pp.130-131: Rays pool; individual species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Flatfish,3.354459833795014,taxonomic,Bothidae; Cynoglossidae,Cynoglossus; Bothidae; Paralichthyidae; Pleuronectiformes,"Christensen 1998 p.130 important components: Bothidae, Cynoglossidae. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Sm.dem.benth.,3.186592797783933,feeding guild,Nemipterus; Pentaprion,Nemipteridae; Marine fishes not identified; Nemipterus; Apogonidae; Gobiidae; Polynemidae; Nemipterus japonicus; Marine groundfishes not identified; Gerreidae; Terapon theraps; Perciformes; Gerres; Nemipterus hexodon,"Christensen 1998 p.130 important components: Nemipterus, Pentaprion. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Jellyfish,3.052631578947368,taxonomic,,Cephea; Rhizostomeae; Scyphozoa,"Christensen 1998 pp.130-131: generic jellyfish, included to represent presence; local species not listed.",source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Mackerel,2.947368421052631,taxonomic,Rastrelliger,Rastrelliger kanagurta; Scombridae; Rastrelliger; Scombroidei; Rastrelliger brachysoma,"Christensen 1998 p.130 important components: Rastrelliger. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Sm. pelagics,2.947368421052631,taxonomic,sardine; anchovy,Engraulidae; Sardinella; Stolephorus; Clupeidae; Ilisha elongata; Clupeiformes; Anodontostoma chacunda; Caesionidae; Caesio; Dussumieria; Dussumieria elopsoides; Sardinella fimbriata; Thryssa; Hilsa kelee; Hyporhamphus; Spratelloides; Marine pelagic fishes not identified; Pellona ditchela; Sardinella lemuru; Dussumieria acuta; Hemiramphus; Cypselurus poecilopterus; Hemiramphidae; Exocoetidae; Tenualosa toli,"Christensen 1998 p.130 important components: sardine, anchovy. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Ponyfishes,2.783656509695291,taxonomic,Leiognathus,Leiognathidae; Leiognathus; Photopectoralis bindus; Gazza minuta; Eubleekeria splendens,"Christensen 1998 p.130 important components: Leiognathus. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
"Crab, lobster",2.7797783933518,taxonomic,,Portunus pelagicus; Portunus; Portunidae; Scylla serrata; Thenus orientalis; Ozius guttatus; Malacostraca; Charybdis; Podophthalmus vigil; Charybdis feriatus; Charybdis anisodon; Panulirus longipes; Palinuridae; Scyllaridae; Panulirus polyphagus; Panulirus; Decapoda,"Christensen 1998 pp.130-131: Crab, lobster pool; individual species not listed.",source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
O.fish,2.653047091412742,taxonomic,,Marine fishes not identified; Mugilidae; Siganus; Mugil; Acanthurus; Marine groundfishes not identified; Siganus canaliculatus; Siganidae; Scarus; Perciformes; Scatophagus; Scatophagus argus,"Christensen 1998 pp.130-131: trash fish; JSON abbreviated residual group. Its diet is 25% each phytoplankton, detritus, zooplankton and benthos. Species composition is not documented.",source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Benthos,2.559556786703601,feeding guild,,Miscellaneous aquatic invertebrates; Holothuriidae; Echinodermata,Christensen 1998 pp.130-131: Benthos pool; individual species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Shrimps,2.417174515235457,taxonomic,,Penaeus; Penaeidae; Dendrobranchiata; Sergestidae; Penaeus merguiensis; Metapenaeus; Acetes; Metapenaeus tenuipes; Metapenaeus affinis; Penaeus latisulcatus; Penaeus semisulcatus; Penaeus monodon; Parapenaeopsis; Mierspenaeopsis sculptilis; Penaeus japonicus; Melicertus canaliculatus; Malacostraca; Mierspenaeopsis hardwickii; Solenocera crassicornis; Miscellaneous marine crustaceans; Decapoda; Acetes japonicus; Penaeus indicus,Christensen 1998 pp.130-131: Shrimps pool; individual species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Molluscs,2.210526315789473,taxonomic,,Perna viridis; Veneridae; Mollusca; Modiolus; Tegillarca granosa; Bivalvia; Crassostrea; Ostreidae; Trochus niloticus,Christensen 1998 pp.130-131: Molluscs pool; individual species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Zooplankton,2.052631578947368,feeding guild,,,Christensen 1998 pp.130-131: Zooplankton pool; individual species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Phytoplankton,1.0,primary producer,,,Christensen 1998 pp.130-131: primary producer group; species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Detritus,1.0,non-living,,,Christensen 1998 pp.130-131: nonliving detritus compartment; no species membership.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
diet_import,1,non-living,,,Algorithm-added diet-import bookkeeping group; no biological taxon.,analyst inference,SPPR groups_df generated import row,,Never takes catch.
