taxon,EwE_Guenette_2013_BayOfBengal1978
Muraenesocidae,2 L pisc
Muraenesox,2 L pisc
Muraenesox cinereus,2 L pisc
Myliobatidae,Coastal elasmobranch
Mytilidae,2 Macrobenthos
Nemipteridae,2 SM pisc
Nemipterus,2 SM pisc
Nemipterus hexodon,2 SM pisc
Nemipterus japonicus,2 SM pisc
Netuma thalassina,2 Milkfish plus
Octopoda,Cephalopods
Octopodidae,Cephalopods
Octopus,Cephalopods
Odontamblyopus rubicundus,2 SM inv
Palinuridae,2 Crustaceans
Pampus,2 SM inv
Pampus argenteus,2 SM inv
Pampus chinensis,2 SM inv
Panulirus,2 Crustaceans
Panulirus homarus,2 Crustaceans
Panulirus longipes,2 Crustaceans
Panulirus penicillatus,2 Crustaceans
Panulirus versicolor,2 Crustaceans
Paphia,2 Macrobenthos
Parapenaeopsis,2 Crustaceans
Parapenaeopsis stylifera,2 Crustaceans
Parastromateus niger,2 Carangids
Pellona ditchela,2 S pelagics
Penaeidae,2 Crustaceans
Penaeus,2 Crustaceans
Penaeus indicus,2 Crustaceans
Penaeus japonicus,2 Crustaceans
Penaeus latisulcatus,2 Crustaceans
Penaeus merguiensis,2 Crustaceans
Penaeus monodon,2 Crustaceans
Penaeus semisulcatus,2 Crustaceans
Pennahia,2 L pisc comm
Perciformes,Unresolved
Perna viridis,2 Macrobenthos
Placuna placenta,2 Macrobenthos
Platycaranx malabaricus,2 Carangids
Platycephalidae,2 L pisc
Platycephalus indicus,2 L pisc
Plectorhinchus,2 SM pisc
Pleuronectiformes,Unresolved
Plotosidae,2 L pisc
Plotosus,2 L pisc
Polynemidae,2 L pisc
Polynemus paradiseus,2 L pisc
Pomadasys,2 SM pisc
Pomadasys argenteus,2 SM pisc
Portunidae,2 Crustaceans
Portunus,2 Crustaceans
Portunus pelagicus,2 Crustaceans
Priacanthus,2 SM pisc
Prionace glauca,Oceanic sharks
Pristipomoides,2 L pisc comm
Psettodes erumei,2 SM pisc
Psettodidae,2 SM pisc
Pteriomorphia,2 Macrobenthos
Pterotolithus maculatus,2 L pisc comm
Rachycentron canadum,2 L pisc
Rastrelliger,2-3 Indian mackerel
Rastrelliger brachysoma,2-3 Indian mackerel
Rastrelliger kanagurta,2-3 Indian mackerel
Sarda orientalis,Coastal scombrids
Sardinella,2 S pelagics
Sardinella fimbriata,2 S pelagics
Sardinella gibbosa,2 S pelagics
Sardinella lemuru,2 S pelagics
Sardinella longiceps,2 S pelagics
Saurida,2 L pisc comm
Saurida tumbil,2 L pisc comm
Scarus,2 SM inv
Scatophagus,2 SM inv
Scatophagus argus,2 SM inv
Sciaenidae,2 L pisc comm
Scolopsis,2 SM pisc
Scomberoides,2 Carangids
Scomberomorus,Coastal scombrids
Scomberomorus commerson,Coastal scombrids
Scomberomorus guttatus,Coastal scombrids
Scomberomorus lineolatus,Coastal scombrids
Scombridae,Unresolved
Scombroidei,Unresolved
Scorpaenidae,2 SM pisc
Scylla serrata,2 Crustaceans
Scyris indica,2 Carangids
Selar crumenophthalmus,2 Carangids
Selaroides leptolepis,2 SM inv
Sepia,Cephalopods
Sepiidae,Cephalopods
Sepioteuthis lessoniana,Cephalopods
Sergestidae,2 Crustaceans
Seriolina nigrofasciata,2 Carangids
Serranidae,2 L pisc comm
Setipinna phasa,2 S pelagics
Setipinna taty,2 S pelagics
Siganidae,2 SM inv
Siganus,2 SM inv
Siganus canaliculatus,2 SM inv
Sillaginidae,2 SM inv
Sillago,2 SM inv
Sillago sihama,2 SM inv
Siluriformes,2 Milkfish plus
Soleidae,2 SM inv
Solenocera crassicornis,2 Crustaceans
Sparidae,2 SM inv
Sphyraena,2 L pisc
Sphyraena jello,2 L pisc
Sphyraenidae,2 L pisc
Sphyrna,Oceanic sharks
Sphyrna lewini,Oceanic sharks
Sphyrna mokarran,Oceanic sharks
Sphyrna zygaena,Oceanic sharks
Sphyrnidae,Oceanic sharks
Stichopus,2 Macrobenthos
Stolephorus,2 S pelagics
Stromateidae,2 SM inv
Synodontidae,2 L pisc comm
Tegillarca granosa,2 Macrobenthos
Tenualosa ilisha,2-3 Hilsa
Tenualosa toli,2-3 Hilsa
Terapon,2 SM pisc
Terapon jarbua,2 SM pisc
Tetraodontidae,2 Milkfish plus
Tetrapturus angustirostris,Tuna-like
Teuthida,Cephalopods
Thenus orientalis,2 Crustaceans
Thryssa,2 S pelagics
Thunnus,Tuna-like
Thunnus alalunga,Tuna-like
Thunnus albacares,Yellowfin tuna
Thunnus obesus,Bigeye tuna
Thunnus tonggol,Coastal scombrids
Trichiuridae,2 L pisc
Trichiurus,2 L pisc
Trichiurus lepturus,2 L pisc
Tridacna,2 Macrobenthos
Trochus,2 Macrobenthos
Upeneus,2 SM inv
Upeneus vittatus,2 SM inv
Veneridae,2 Macrobenthos
Xiphias gladius,Tuna-like
