taxon,EwE_Xu_2022_M1997,EwE_Xu_2022_M2018
Lethrinus miniatus,Piscivores,Piscivores
Liparis tanakae,Benthivores/piscivores,Benthivores/piscivores
Loliginidae,Cephalopods,Cephalopods
Lutjanidae,Piscivores,Piscivores
Lutjanus,Piscivores,Piscivores
Lutjanus bohar,Piscivores,Piscivores
Mactridae,Mollusks,Mollusks
Magallana gigas,Mollusks,Mollusks
Makaira mazara,Piscivores,Piscivores
Marine finfishes not identified,Unresolved,Unresolved
Marine fishes not identified,Unresolved,Unresolved
Marine pelagic fishes not identified,Unresolved,Unresolved
Megalaspis cordyla,Planktivores/piscivores,Planktivores/piscivores
Mene maculata,Planktivores/piscivores,Planktivores/piscivores
Menidae,Planktivores/piscivores,Planktivores/piscivores
Meretrix lusoria,Mollusks,Mollusks
Metapenaeus,Shrimps,Shrimps
Metapenaeus ensis,Shrimps,Shrimps
Metapenaeus joyneri,Shrimps,Shrimps
Mierspenaeopsis hardwickii,Shrimps,Shrimps
Miichthys miiuy,Benthivores/piscivores,Benthivores/piscivores
Miscellaneous aquatic invertebrates,Unresolved,Unresolved
Miscellaneous marine crustaceans,Unresolved,Unresolved
Mizuhopecten yessoensis,Mollusks,Mollusks
Mola mola,Unresolved,Unresolved
Mollusca,Mollusks,Mollusks
Monacanthidae,Unresolved,Unresolved
Mugil cephalus,Benthivores,Benthivores
Mugilidae,Benthivores,Benthivores
Mullidae,Benthivores,Benthivores
Muraenesocidae,Piscivores,Piscivores
Muraenesox cinereus,Piscivores,Piscivores
Muraenidae,Piscivores,Piscivores
Mytilidae,Mollusks,Mollusks
Mytilus coruscus,Mollusks,Mollusks
Nemipteridae,Benthivores/piscivores,Benthivores/piscivores
Nemipterus,Benthivores/piscivores,Benthivores/piscivores
Nemipterus virgatus,Benthivores/piscivores,Benthivores/piscivores
Nemopilema nomurai,Other invertebrates,Other invertebrates
Nibea albiflora,Omnivores,Omnivores
Nibea mitsukurii,Omnivores,Omnivores
Niphon spinosus,Piscivores,Piscivores
Octopoda,Cephalopods,Cephalopods
Octopodidae,Cephalopods,Cephalopods
Octopus,Cephalopods,Cephalopods
Ommastrephes bartramii,Cephalopods,Cephalopods
Ommastrephidae,Cephalopods,Cephalopods
Oncorhynchus,Unresolved,Unresolved
Oplegnathus fasciatus,Benthivores/piscivores,Benthivores/piscivores
Oratosquilla oratoria,Shrimps,Shrimps
Ostreidae,Mollusks,Mollusks
Pagrus auratus,Omnivores,Omnivores
Pagrus major,Omnivores,Omnivores
Pampus,Planktivores/piscivores,Planktivores/piscivores
Pampus argenteus,Planktivores/piscivores,Planktivores/piscivores
Panulirus longipes,Crabs,Crabs
Paralichthyidae,Piscivores,Piscivores
Paralichthys olivaceus,Piscivores,Piscivores
Parastromateus niger,Planktivores/piscivores,Planktivores/piscivores
Parupeneus barberinus,Benthivores,Benthivores
Pectinidae,Mollusks,Mollusks
Penaeidae,Shrimps,Shrimps
Penaeus chinensis,Shrimps,Shrimps
Penaeus japonicus,Shrimps,Shrimps
Penaeus monodon,Shrimps,Shrimps
Penaeus penicillatus,Shrimps,Shrimps
Pennahia argentata,Piscivores,Piscivores
Perciformes,Unresolved,Unresolved
Planiliza haematocheilus,Benthivores,Benthivores
Platycaranx malabaricus,Planktivores/piscivores,Planktivores/piscivores
Platycaranx talamparoides,Planktivores/piscivores,Planktivores/piscivores
Platycephalus indicus,Piscivores,Piscivores
Pleurogrammus azonus,Benthivores/piscivores,Benthivores/piscivores
Pleuronectidae,Benthivores,Benthivores
Pleuronectiformes,Unresolved,Unresolved
Polydactylus sexfilis,Omnivores,Omnivores
Portunidae,Crabs,Crabs
Portunus,Crabs,Crabs
Portunus pelagicus,Crabs,Crabs
Portunus trituberculatus,Crabs,Crabs
Priacanthus,Benthivores/piscivores,Benthivores/piscivores
Priacanthus macracanthus,Benthivores/piscivores,Benthivores/piscivores
Prionace glauca,Sharks,Sharks
Psenopsis anomala,Planktivores/piscivores,Planktivores/piscivores
Psettodes erumei,Piscivores,Piscivores
Pseudopleuronectes herzensteini,Benthivores,Benthivores
Rachycentridae,Piscivores,Piscivores
Rachycentron canadum,Piscivores,Piscivores
Rapana,Mollusks,Mollusks
Rhopilema esculentum,Other invertebrates,Other invertebrates
Rhopilema hispidum,Other invertebrates,Other invertebrates
Ruditapes philippinarum,Mollusks,Mollusks
Ruvettus pretiosus,Benthivores/piscivores,Benthivores/piscivores
Salmonidae,Unresolved,Unresolved
Sardinella zunasi,Planktivores,Planktivores
Sardinops sagax,Planktivores,Planktivores
Saurida,Piscivores,Piscivores
Saurida tumbil,Piscivores,Piscivores
Saurida undosquamis,Piscivores,Piscivores
Scaridae,Unresolved,Unresolved
Sciaenidae,Unresolved,Unresolved
Scomber,Planktivores/Benthivores,Planktivores/Benthivores
Scomber australasicus,Planktivores/Benthivores,Planktivores/Benthivores
Scomber japonicus,Planktivores/Benthivores,Planktivores/Benthivores
Scomberomorus,Piscivores,Piscivores
Scomberomorus commerson,Piscivores,Piscivores
Scomberomorus guttatus,Piscivores,Piscivores
Scomberomorus niphonius,Piscivores,Piscivores
Scombridae,Unresolved,Unresolved
Scorpaenidae,Benthivores/piscivores,Benthivores/piscivores
Scorpaeniformes,Unresolved,Unresolved
Scylla,Crabs,Crabs
Scylla serrata,Crabs,Crabs
Scyllaridae,Crabs,Crabs
Scyphozoa,Other invertebrates,Other invertebrates
Sebastes,Benthivores/piscivores,Benthivores/piscivores
Sebastidae,Benthivores/piscivores,Benthivores/piscivores
Sepia,Cephalopods,Cephalopods
Sepiida,Cephalopods,Cephalopods
Sepiidae,Cephalopods,Cephalopods
Sergestidae,Shrimps,Shrimps
Seriola,Piscivores,Piscivores
Seriola dumerili,Piscivores,Piscivores
Serranidae,Piscivores,Piscivores
Sillaginidae,Benthivores,Benthivores
Sillago,Benthivores,Benthivores
Sillago sihama,Benthivores,Benthivores
Sparidae,Omnivores,Omnivores
Sphyraena,Piscivores,Piscivores
Sphyraena barracuda,Piscivores,Piscivores
Sphyraenidae,Piscivores,Piscivores
Sphyrna,Sharks,Sharks
Spratelloides gracilis,Planktivores,Planktivores
Squillidae,Shrimps,Shrimps
Stephanolepis cirrhifer,Benthivores,Benthivores
Stromateidae,Planktivores/piscivores,Planktivores/piscivores
Synodontidae,Piscivores,Piscivores
Tegillarca granosa,Mollusks,Mollusks
Tetraodontidae,Benthivores/piscivores,Benthivores/piscivores
Teuthida,Cephalopods,Cephalopods
Thunnus alalunga,Piscivores,Piscivores
Thunnus albacares,Piscivores,Piscivores
Thunnus obesus,Piscivores,Piscivores
Thunnus orientalis,Piscivores,Piscivores
Todarodes pacificus,Cephalopods,Cephalopods
Trachurus,Planktivores/piscivores,Planktivores/piscivores
Trachurus japonicus,Planktivores/piscivores,Planktivores/piscivores
Trachysalambria curvirostris,Shrimps,Shrimps
Trichiuridae,Hairtails,Hairtails
Trichiurus lepturus,Hairtails,Hairtails
Tripneustes gratilla,Echinoderms,Echinoderms
Turbo cornutus,Mollusks,Mollusks
Veneridae,Mollusks,Mollusks
Xiphias gladius,Piscivores,Piscivores
Zenopsis nebulosa,Piscivores,Piscivores
