taxon,EwE_Mohamed_2009_ArabianSeaOffKarnataka
Chirocentrus dorab,Large Benthopelagics
Chirocentrus nudus,Large Benthopelagics
Chondrichthyes,Unresolved
Clupeidae,Clupeids
Clupeiformes,Unresolved
Cnidaria,Micro Nekton
Congresox talabonoides,Large Benthic Carnivores
Coryphaena,Large Pelagics
Coryphaena hippurus,Large Pelagics
Crenidens crenidens,Small Benthic Carnivores
Decapoda,Unresolved
Decapterus,Small Benthopelagics
Decapterus macarellus,Small Benthopelagics
Decapterus russelli,Small Benthopelagics
Dendrobranchiata,Shrimps
Diagramma pictum,Med Benthic Carnivores
Drepane,Med Benthic Carnivores
Drepane punctata,Med Benthic Carnivores
Dussumieria acuta,Clupeids
Echinoidea,Heterotrophic Benthos
Elagatis bipinnulata,Large Pelagics
Elasmobranchii,Unresolved
Eleutheronema tetradactylum,Large Benthic Carnivores
Encrasicholina heteroloba,Anchovies
Engraulidae,Anchovies
Ephippidae,Med Benthic Carnivores
Epinephelus,Large Benthic Carnivores
Epinephelus areolatus,Large Benthic Carnivores
Epinephelus chlorostigma,Large Benthic Carnivores
Epinephelus coeruleopunctatus,Large Benthic Carnivores
Epinephelus coioides,Large Benthic Carnivores
Epinephelus diacanthus,Large Benthic Carnivores
Epinephelus fasciatus,Large Benthic Carnivores
Epinephelus fuscoguttatus,Large Benthic Carnivores
Epinephelus malabaricus,Large Benthic Carnivores
Epinephelus multinotatus,Large Benthic Carnivores
Epinephelus polylepis,Large Benthic Carnivores
Epinephelus polyphekadion,Large Benthic Carnivores
Epinephelus tauvina,Large Benthic Carnivores
Equulites klunzingeri,Small Benthopelagics
Etelis,Large Benthic Carnivores
Euthynnus affinis,Tunas
Ferdauia orthogrammus,Large Benthic Carnivores
Flavocaranx bajad,Large Benthic Carnivores
Galeocerdo cuvier,Sharks
Gastropoda,Heterotrophic Benthos
Gerreidae,Small Benthic Carnivores
Gerres,Small Benthic Carnivores
Gerres longirostris,Small Benthic Carnivores
Gerres oblongus,Small Benthic Carnivores
Gerres oyena,Small Benthic Carnivores
Glaucostegus granulatus,Skates & Rays
Gnathanodon speciosus,Large Benthic Carnivores
Gobiidae,Small Benthic Carnivores
Grammoplites suppositus,Med Benthic Carnivores
Gymnocranius grandoculis,Large Benthic Carnivores
Gymnosarda unicolor,Tunas
Haemulidae,Med Benthic Carnivores
Haliotidae,Heterotrophic Benthos
Haliotis,Heterotrophic Benthos
Harpadon nehereus,Large Benthic Carnivores
Hemiramphidae,Small Benthopelagics
Hemiramphus,Small Benthopelagics
Hemiramphus archipelagicus,Small Benthopelagics
Hilsa kelee,Clupeids
Himantura uarnak,Skates & Rays
Holothuria atra,Heterotrophic Benthos
Holothuria edulis,Heterotrophic Benthos
Holothuria fuscogilva,Heterotrophic Benthos
Holothuria fuscopunctata,Heterotrophic Benthos
Holothuria leucospilota,Heterotrophic Benthos
Holothuriidae,Heterotrophic Benthos
Holothuroidea,Heterotrophic Benthos
Istiompax indica,Large Pelagics
Istiophoridae,Large Pelagics
Istiophorus,Large Pelagics
Istiophorus platypterus,Large Pelagics
Isurus,Sharks
Isurus oxyrinchus,Sharks
Isurus paucus,Sharks
Kajikia audax,Large Pelagics
Katsuwonus pelamis,Tunas
Labridae,Med Benthic Carnivores
Lactarius lactarius,Large Benthopelagics
Lamnidae,Sharks
Lates calcarifer,Large Benthic Carnivores
Leiognathidae,Small Benthopelagics
Leiognathus,Small Benthopelagics
Leiognathus equula,Small Benthopelagics
Leptomelanosoma indicum,Large Benthic Carnivores
Lepturacanthus savala,Large Benthopelagics
Lethrinidae,Large Benthic Carnivores
Lethrinus,Large Benthic Carnivores
Lethrinus borbonicus,Large Benthic Carnivores
Lethrinus harak,Large Benthic Carnivores
Lethrinus lentjan,Large Benthic Carnivores
Lethrinus mahsena,Large Benthic Carnivores
Lethrinus microdon,Large Benthic Carnivores
Lethrinus nebulosus,Large Benthic Carnivores
Lethrinus obsoletus,Large Benthic Carnivores
Lethrinus olivaceus,Large Benthic Carnivores
Lethrinus rubrioperculatus,Large Benthic Carnivores
Lethrinus xanthochilus,Large Benthic Carnivores
Loliginidae,Cephalopods
Lutjanidae,Large Benthic Carnivores
Lutjanus,Large Benthic Carnivores
Lutjanus argentimaculatus,Large Benthic Carnivores
Lutjanus bohar,Large Benthic Carnivores
Lutjanus fulviflamma,Large Benthic Carnivores
Lutjanus gibbus,Large Benthic Carnivores
Lutjanus johnii,Large Benthic Carnivores
Lutjanus kasmira,Large Benthic Carnivores
Lutjanus malabaricus,Large Benthic Carnivores
Lutjanus quinquelineatus,Large Benthic Carnivores
Lutjanus russellii,Large Benthic Carnivores
Macolor,Large Benthic Carnivores
Macolor niger,Large Benthic Carnivores
Maculabatis gerrardi,Skates & Rays
Makaira,Large Pelagics
Marine fishes not identified,Unresolved
Marine groundfishes not identified,Unresolved
Marine pelagic fishes not identified,Unresolved
Megalaspis cordyla,Small Benthopelagics
Mene maculata,Small Benthopelagics
Metapenaeus,Shrimps
Metapenaeus affinis,Shrimps
Miscellaneous aquatic invertebrates,Unresolved
Miscellaneous marine crustaceans,Unresolved
Mobula birostris,Skates & Rays
Mollusca,Unresolved
Monacanthidae,Med Benthic Carnivores
Monotaxis grandoculis,Large Benthic Carnivores
Moolgarda seheli,Benthic Omnivores
Mugil cephalus,Benthic Omnivores
Mugilidae,Benthic Omnivores
Mullidae,Small Benthic Carnivores
Muraenesocidae,Large Benthic Carnivores
Muraenesox cinereus,Large Benthic Carnivores
Myliobatidae,Skates & Rays
Mytilidae,Heterotrophic Benthos
Nebrius ferrugineus,Sharks
Nematalosa nasus,Clupeids
Nemipteridae,Small Benthic Carnivores
Nemipterus,Small Benthic Carnivores
Nemipterus japonicus,Small Benthic Carnivores
Netuma thalassina,Large Benthopelagics
Octopoda,Cephalopods
Octopodidae,Cephalopods
Octopus,Cephalopods
Ophichthidae,Large Benthic Carnivores
Otolithes ruber,Med Benthic Carnivores
Palinuridae,Crabs & Lobster
Pampus,Med Benthic Carnivores
Pampus argenteus,Med Benthic Carnivores
Pampus chinensis,Med Benthic Carnivores
Panulirus,Crabs & Lobster
Panulirus homarus,Crabs & Lobster
Panulirus penicillatus,Crabs & Lobster
Panulirus polyphagus,Crabs & Lobster
Panulirus versicolor,Crabs & Lobster
Parapenaeopsis stylifera,Shrimps
Parastromateus niger,Small Benthopelagics
Pastinachus sephen,Skates & Rays
Pelates quadrilineatus,Small Benthic Carnivores
Penaeidae,Shrimps
Penaeus,Shrimps
Penaeus latisulcatus,Shrimps
Penaeus monodon,Shrimps
Penaeus semisulcatus,Shrimps
Perciformes,Unresolved
Photopectoralis bindus,Small Benthopelagics
Placuna placenta,Heterotrophic Benthos
Planiliza klunzingeri,Benthic Omnivores
Platax,Med Benthic Carnivores
Platax orbicularis,Med Benthic Carnivores
Platycaranx chrysophrys,Large Benthic Carnivores
Platycaranx malabaricus,Large Benthic Carnivores
Platycaranx talamparoides,Large Benthic Carnivores
Platycephalidae,Med Benthic Carnivores
Platycephalus indicus,Med Benthic Carnivores
Plectorhinchus,Med Benthic Carnivores
Plectorhinchus gaterinus,Med Benthic Carnivores
Plectorhinchus pictus,Med Benthic Carnivores
Plectorhinchus schotaf,Med Benthic Carnivores
Plectorhinchus sordidus,Med Benthic Carnivores
Plectropomus areolatus,Large Benthic Carnivores
Plectropomus pessuliferus,Large Benthic Carnivores
Pleuronectiformes,Unresolved
Plotosidae,Large Benthopelagics
Polynemidae,Med Benthic Carnivores
Pomacanthidae,Benthic Omnivores
Pomacanthus maculosus,Benthic Omnivores
Pomacentridae,Benthic Omnivores
Pomadasys,Med Benthic Carnivores
Pomadasys argenteus,Med Benthic Carnivores
Pomadasys kaakan,Med Benthic Carnivores
Pomadasys stridens,Med Benthic Carnivores
Portunidae,Crabs & Lobster
Portunus,Crabs & Lobster
Portunus pelagicus,Crabs & Lobster
Prionace glauca,Sharks
Pristidae,Skates & Rays
Pristipomoides,Large Benthic Carnivores
Pristipomoides filamentosus,Large Benthic Carnivores
Pristipomoides multidens,Large Benthic Carnivores
Protonibea diacanthus,Med Benthic Carnivores
Psettodes erumei,Med Benthic Carnivores
Pteriomorphia,Heterotrophic Benthos
Pterotolithus maculatus,Med Benthic Carnivores
Rachycentridae,Large Pelagics
Rachycentron canadum,Large Pelagics
Rajiformes,Skates & Rays
Rastrelliger,Mackerel
Rastrelliger kanagurta,Mackerel
Rhabdosargus haffara,Med Benthic Carnivores
Rhabdosargus sarba,Med Benthic Carnivores
Rhincodon typus,Sharks
Rhinobatidae,Skates & Rays
Rhizoprionodon acutus,Sharks
Rhizostomeae,Micro Nekton
Rhynchobatus djiddensis,Skates & Rays
Saccostrea cuccullata,Heterotrophic Benthos
Sarda orientalis,Tunas
Sardinella,Clupeids
Sardinella albella,Clupeids
Sardinella gibbosa,Clupeids
Sardinella longiceps,Clupeids
Sardinella sindensis,Clupeids
Saurida,Large Benthic Carnivores
Saurida tumbil,Large Benthic Carnivores
Scaridae,Benthic Omnivores
Scarus ghobban,Benthic Omnivores
Scarus persicus,Benthic Omnivores
Sciaenidae,Med Benthic Carnivores
Scolopsis,Small Benthic Carnivores
Scolopsis taeniata,Small Benthic Carnivores
Scomberoides,Large Benthopelagics
Scomberoides commersonnianus,Large Benthopelagics
Scomberoides lysan,Large Benthopelagics
Scomberoides tol,Large Benthopelagics
Scomberomorus,Large Pelagics
Scomberomorus commerson,Large Pelagics
Scomberomorus guttatus,Large Pelagics
Scomberomorus lineolatus,Large Pelagics
Scombridae,Unresolved
Scombroidei,Unresolved
Scorpaenidae,Large Benthic Carnivores
Scylla serrata,Crabs & Lobster
Scyphozoa,Micro Nekton
Scyris indica,Large Benthic Carnivores
Selar crumenophthalmus,Small Benthopelagics
Selaroides leptolepis,Small Benthopelagics
Sepia,Cephalopods
Sepia pharaonis,Cephalopods
Sepiidae,Cephalopods
Sepioteuthis lessoniana,Cephalopods
Seriola,Large Benthic Carnivores
Seriola dumerili,Large Benthic Carnivores
Seriola rivoliana,Large Benthic Carnivores
Seriolina nigrofasciata,Large Benthic Carnivores
Serranidae,Large Benthic Carnivores
Siganidae,Benthic Omnivores
Siganus,Benthic Omnivores
Siganus canaliculatus,Benthic Omnivores
Siganus sutor,Benthic Omnivores
Sillaginidae,Med Benthic Carnivores
Sillago,Med Benthic Carnivores
Sillago sihama,Med Benthic Carnivores
Siluriformes,Large Benthopelagics
Soleidae,Benthic Omnivores
Solenidae,Heterotrophic Benthos
Sparidae,Med Benthic Carnivores
Sparidentex hasta,Med Benthic Carnivores
Sphyraena,Large Pelagics
Sphyraena barracuda,Large Pelagics
Sphyraena forsteri,Large Pelagics
Sphyraena jello,Large Pelagics
Sphyraena obtusata,Large Pelagics
Sphyraena putnamae,Large Pelagics
Sphyraenidae,Large Pelagics
Sphyrna,Sharks
Sphyrna lewini,Sharks
Sphyrna zygaena,Sharks
Sphyrnidae,Sharks
Spratelloides gracilis,Clupeids
Stolephorus,Anchovies
Stromateidae,Med Benthic Carnivores
Synanceiidae,Large Benthic Carnivores
Synodontidae,Large Benthic Carnivores
Tenualosa ilisha,Clupeids
Terapon,Small Benthic Carnivores
Terapon jarbua,Small Benthic Carnivores
Terapontidae,Small Benthic Carnivores
Tetraodontidae,Small Benthic Carnivores
Tetrapturus angustirostris,Large Pelagics
Teuthida,Cephalopods
Thenus orientalis,Crabs & Lobster
Thryssa,Clupeids
Thryssa dussumieri,Clupeids
Thunnus alalunga,Tunas
Thunnus albacares,Tunas
Thunnus obesus,Tunas
Thunnus tonggol,Tunas
Trachinotus mookalee,Large Benthic Carnivores
Triakidae,Sharks
Trichiuridae,Large Benthopelagics
Trichiurus,Large Benthopelagics
Trichiurus lepturus,Large Benthopelagics
Turrum coeruleopinnatum,Large Benthic Carnivores
Turrum fulvoguttatum,Large Benthic Carnivores
Upeneus sulphureus,Small Benthic Carnivores
Upeneus vittatus,Small Benthic Carnivores
Uroteuthis duvaucelii,Cephalopods
Variola louti,Large Benthic Carnivores
Veneridae,Heterotrophic Benthos
Xiphias gladius,Large Pelagics
Xiphiidae,Large Pelagics
