group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Other mesopelagic fishes,4.092995169082125,taxonomic,,,"Other mesopelagic fishes, excluding the separately named Myctophidae and Bathylagidae; species list not documented.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Crabs and shrimps,3.035190378918355,taxonomic,,Paralithodes camtschaticus; Miscellaneous marine crustaceans; Chionoecetes; Chionoecetes opilio; Decapoda; Brachyura; Pandalus borealis; Paralithodes platypus; Dendrobranchiata; Pandalus; Paralithodes; Pandalus goniurus; Chionoecetes japonicus; Pandalus hypsinotus; Erimacrus isenbeckii; Penaeus chinensis; Sclerocrangon; Pandalopsis japonica; Pandalus kessleri; Paralithodes brevipes; Metapenaeus,"Crabs and shrimps; Table 1 taxonomic pool label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Squids,4.187409706042596,taxonomic,,Teuthida; Todarodes pacificus; Mollusca; Cephalopoda; Loliginidae; Berryteuthis magister; Ommastrephidae; Ommastrephes bartramii,"Squids; Table 1 taxonomic pool label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Jellyfish,3.328540248132356,taxonomic,,Cephea; Scyphozoa; Rhopilema hispidum,"Jellyfish; Table 1 pool label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Carnivorous invertebrates,3.0,feeding guild,,Mollusca; Octopoda; Cephalopoda; Octopodidae; Gastropoda; Octopus; Squillidae; Miscellaneous aquatic invertebrates; Panulirus,"Carnivorous invertebrates; Table 1 feeding-guild label, species membership not documented; Table 3 diet is second-level benthos.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
2nd level benthos,2.0,feeding guild,,Mollusca; Pectinidae; Bivalvia; Mizuhopecten yessoensis; Echinoidea; Gastropoda; Holothuroidea; Mactridae; Haliotidae; Corbicula japonica; Miscellaneous aquatic invertebrates; Mytilidae; Apostichopus japonicus; Crassostrea; Magallana gigas; Haliotis; Echinozoa; Pinctada,"2nd level benthos; Table 1 trophic-guild label, species membership not documented; Table 3 diet draws from phytoplankton, phytobenthos and detritus.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Predatory zooplankton,3.207729468599033,feeding guild,,,Predatory zooplankton; species membership not documented.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Herbivorous zooplankton,2.0,feeding guild,,,Herbivorous zooplankton; species membership not documented.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Phytobenthos,1.0,primary producer,,,"Phytobenthos; benthic primary producers, species membership not documented.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Phytoplankton,1.0,primary producer,,,"Phytoplankton; pelagic primary producers, species membership not documented.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Detritus,1.0,non-living,,,"Detritus; nonliving compartment, not a taxon.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
diet_import,1,non-living,,,Algorithm-added diet-import bookkeeping group; no biological taxon.,analyst inference,SPPR groups_df generated import row,,Never takes catch.
