taxon,catch_tonnes,previous_group,group,evidence,explanation
Marine pelagic fishes not identified,682439.5016756471,Clupeids | Anchovies | Mackerel | Small Benthopelagics,Large Pelagics | Tunas | Small Benthopelagics | Mackerel | Clupeids | Anchovies,composite_split,"Analyst composite: Marine pelagic fishes not identified spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium pelagics (30 - 89 cm); weights are estimated, not published species proportions."
Bramidae,639449.7374440476,Large Benthopelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Siganidae,588653.6975581708,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Anguilliformes,389450.3950475185,Large Benthic Carnivores,Unresolved,none,No documented member or defensible habitat-and-feeding-guild match established for Anguilliformes; SAU Large demersals (>=90 cm) alone is insufficient to assign a trophic guild.
Caranx ignobilis,332436.1308630904,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Sillago sihama,313756.7811779625,Med Benthic Carnivores,Small Benthic Carnivores,analogue,"Analyst ecological analogue: Sillago sihama is a small demersal benthic feeder, compared with source goatfishes and threadfin breams; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Pleuronectiformes,307603.0904494636,Benthic Omnivores | Med Benthic Carnivores,Med Benthic Carnivores | Benthic Omnivores,composite_split,"Analyst composite: Pleuronectiformes spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Small to medium flatfishes (<90 cm); weights are estimated, not published species proportions. Fixed weights use this LME 1950-2019 singly assigned catch within the named family/order only, excluding unrelated taxa in the candidate groups."
Argyrops spinifer,244003.2856845644,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Argyrops spinifer is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Lethrinus,238933.24003673068,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Monacanthidae,227653.1230353028,Med Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Istiophorus platypterus,196434.7269344887,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Lethrinus lentjan,151936.4711677789,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus lentjan is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Caranx,112143.8823337665,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium reef assoc. fish (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Siganus,112019.4504044608,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Istiophoridae,102450.6624410314,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Flavocaranx bajad,90583.9812429973,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst analogue to source large carangids Megalaspis/Scomberoides (Bulletin p.16). FishBase documents common 42 cm TL, maximum 55 cm TL and coastal reef slopes (https://www.fishbase.se/summary/Carangoides-bajad.html); the source small-scad asymptotic lengths are 16.8-23.8 cm. This is inferred guild/size alignment, not a printed model member."
Eleutheronema tetradactylum,76429.8990237957,Large Benthic Carnivores,Med Benthic Carnivores,taxonomic_containment,"Bulletin pp.11-12 and group accounts pp.14-20 define this pool by the Eleutheronema lineage or its named family; Eleutheronema tetradactylum is assigned within that source-defined lineage, independently of SAU size classification."
Istiompax indica,66202.9583667766,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Gnathanodon speciosus,54682.4015158176,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Xiphias gladius,35924.9092308464,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Platycaranx malabaricus,35185.0632935284,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium reef assoc. fish (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Siganus canaliculatus,32443.014532710098,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Lethrinus olivaceus,27484.0074913164,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus olivaceus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Lethrinus borbonicus,26785.2344652899,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus borbonicus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Sarda orientalis,22908.4852502281,Tunas,Large Pelagics,analogue,"Analyst ecological analogue: Sarda orientalis is a large mobile pelagic predator, compared with source seerfish and barracuda; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Large pelagics (>=90 cm)."
Marine groundfishes not identified,22697.5486858329,Med Benthic Carnivores | Small Benthic Carnivores | Large Benthic Carnivores,Large Benthic Carnivores | Med Benthic Carnivores | Small Benthic Carnivores | Benthic Omnivores,composite_split,"Analyst composite: Marine groundfishes not identified spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium demersals (30 - 89 cm); weights are estimated, not published species proportions."
Scyris indica,17571.0875967847,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Atropus armatus,16713.0289429321,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium reef assoc. fish (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Scaridae,16240.9989346804,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Siganus sutor,16132.4292179473,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Kajikia audax,15755.5324728147,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Leptomelanosoma indicum,15236.3540039863,Large Benthic Carnivores,Med Benthic Carnivores,taxonomic_containment,"Bulletin pp.11-12 and group accounts pp.14-20 define this pool by the Leptomelanosoma lineage or its named family; Leptomelanosoma indicum is assigned within that source-defined lineage, independently of SAU size classification."
Gobiidae,15210.9100920682,Small Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Brama brama,13644.929325207,Large Benthopelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Ophichthidae,11234.0626067932,Large Benthic Carnivores,Med Benthic Carnivores,habitat_size_guild,"Analyst inference: demersal predatory lineage Ophichthidae, SAU Medium demersals (30 - 89 cm), matching the source demersal carnivore guild; no species-level placement documented in Bulletin pp.11-20."
Lethrinus microdon,11123.5946487525,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus microdon is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Pomacanthus maculosus,10706.1306124591,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Lethrinus obsoletus,9285.4509835904,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus obsoletus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Alectis ciliaris,8403.1441821273,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large pelagics (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Trachinotus mookalee,8179.1381863467,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium demersals (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Xiphiidae,5870.9981138769,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Turrum fulvoguttatum,5520.5388033886,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Scarus persicus,4725.1712367588,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Miscellaneous marine crustaceans,4427.7023701724,Shrimps | Crabs & Lobster,Crabs & Lobster | Shrimps,composite_split,"Analyst composite: Miscellaneous marine crustaceans spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Shrimps; weights are estimated, not published species proportions."
Platax orbicularis,4087.9866058139,Med Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Crenidens crenidens,4053.8504729358,Small Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Acanthurus dussumieri,3801.8252587206,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Caranx sexfasciatus,3718.6412219717,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Lethrinus mahsena,3328.9609092688,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus mahsena is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Synanceiidae,3016.2662977419,Large Benthic Carnivores,Med Benthic Carnivores,habitat_size_guild,"Analyst inference: demersal predatory lineage Synanceiidae, SAU Medium demersals (30 - 89 cm), matching the source demersal carnivore guild; no species-level placement documented in Bulletin pp.11-20."
Istiophorus,2999.2330549452,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Seriolina nigrofasciata,2665.9177425484,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium reef assoc. fish (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Bolbometopon muricatum,2656.9165799537,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Scombroidei,2544.8917083971,Tunas | Large Pelagics,Large Pelagics | Tunas,composite_split,"Analyst composite: Scombroidei spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Large pelagics (>=90 cm); weights are estimated, not published species proportions."
Sillaginidae,2257.9185935764,Med Benthic Carnivores,Small Benthic Carnivores,analogue,"Analyst ecological analogue: Sillaginidae is a small demersal benthic feeder, compared with source goatfishes and threadfin breams; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Monotaxis grandoculis,2225.6434077092,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Monotaxis grandoculis is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Caranx melampygus,2215.5257968452,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Turrum coeruleopinnatum,1857.3036285447001,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium reef assoc. fish (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Carangoides,1821.8575124605,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium reef assoc. fish (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Seriola rivoliana,1653.1947872433,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large benthopelagics (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Lethrinus xanthochilus,1641.5555801547,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus xanthochilus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Centrolophidae,1365.4731580646,Med Benthic Carnivores,Small Benthopelagics,analogue,"Analyst ecological analogue: Centrolophidae is a small or medium water-column feeder, compared with source scads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium benthopelagics (30 - 89 cm)."
Lethrinus harak,1213.4774504085,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus harak is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Ferdauia orthogrammus,1097.727445499,Large Benthic Carnivores,Med Benthic Carnivores,analogue,Analyst benthic-feeding analogue: FishBase documents small crustaceans taken from sandy channels/reef basins and common 40 cm FL (https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=508&id=1909). The source medium benthic carnivores consume crustaceans and fish (Bulletin p.17). Reef/island habitat and absence from the printed member list limit confidence; the former small-scad inference is unsupported.
Makaira,1056.2607882024,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Ephippidae,1017.0916744147,Med Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Ablennes hians,947.7527510779,Large Pelagics,Unresolved,none,No documented member or defensible habitat-and-feeding-guild match established for Ablennes hians; SAU Large pelagics (>=90 cm) alone is insufficient to assign a trophic guild.
Seriola,936.5694723668,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large benthopelagics (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Berycidae,850.6821961457,Med Benthic Carnivores,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Aluterus monoceros,816.4973167182,Med Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Caranx lugubris,763.4072623815,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large benthopelagics (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Sillago,645.0879143347,Med Benthic Carnivores,Small Benthic Carnivores,analogue,"Analyst ecological analogue: Sillago is a small demersal benthic feeder, compared with source goatfishes and threadfin breams; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Elagatis bipinnulata,501.2313239107,Large Pelagics,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large pelagics (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Malacostraca,484.837547872,Shrimps | Crabs & Lobster,Crabs & Lobster | Shrimps | Benthic Omnivores | Heterotrophic Benthos,composite_split,"Analyst composite: Malacostraca spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Shrimps; weights are estimated, not published species proportions."
Chaetodontidae,351.7775304079,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Beryx,311.8196383778,Med Benthic Carnivores,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Gadiformes,278.8894847872,Anchovies,Unresolved,none,No documented member or defensible habitat-and-feeding-guild match established for Gadiformes; SAU Medium benthopelagics (30 - 89 cm) alone is insufficient to assign a trophic guild.
Lethrinus rubrioperculatus,242.2889354411,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus rubrioperculatus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
Seriola dumerili,211.4304673756,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Large reef assoc. fish (>=90 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Gempylidae,164.9613532381,Large Benthopelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Pomacentridae,109.9701322727,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Platycaranx talamparoides,107.4200075032,Large Benthic Carnivores,Small Benthopelagics,analogue,"Analyst carangid analogue using water-column predation and SAU Medium pelagics (30 - 89 cm): source large carangids Megalaspis/Scomberoides occur in Grp7 and small scads in Grp11 (Bulletin pp.11-12). This taxon is not a listed member. Ecological inference only: published model size classes are not equivalent to SAU classes, and size/diet variation within carangids limits this analogue."
Tetrapturus angustirostris,89.6341662761,Large Pelagics,Unresolved,none,"The Karnataka coastal shelf model has no documented billfish/deep oceanic stock or corresponding trophic compartment; the Large Pelagics source list covers seerfish, cobia and barracuda."
Platax,21.9054525836,Med Benthic Carnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Scarus ghobban,1.9577984567,Benthic Omnivores,Unresolved,none,No source member or adequately matching herbivore/omnivore/reef guild is documented for this taxon; a demersal size class alone cannot establish membership in the carnivore pools.
Lophiidae,0.9012174549,Med Benthic Carnivores,Large Benthic Carnivores,habitat_size_guild,"Analyst inference: demersal predatory lineage Lophiidae, SAU Medium bathydemersals (30 - 89 cm), matching the source demersal carnivore guild; no species-level placement documented in Bulletin pp.11-20."
