,Source / fate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
21,Small yellowfin tuna,,,,0.005,,,,0.001,,0.251,,0.021,0.014,0.113,0.096,,0.001,,0.001,,0.001,,0.059,,,,,0.397,0.009,,,,,,,
22,Small bigeye tuna,,,,0.020,,,,,,,0.022,,,0.007,0.010,,,,,,,,0.050,,,,,0.009,,,,,,,,
23,Small marlins,,,,,,,,,,0.005,0.005,,,,0.003,,,,,,,,0.010,,,,,0.003,,,,,,,,
24,Small sailfish,,,,,,,,,,0.005,0.005,,,,0.003,,,,,,,,0.010,,,,,0.003,,,,,,,,
25,Small swordfish,,,,,,,,,,0.001,0.001,,,,0.001,,,,,,,,0.001,,,,,0.001,,,,,,,,
26,Small dorado,,,,0.010,0.011,,,0.004,,0.024,0.046,,0.018,0.022,0.019,,,,,,,,0.100,0.031,,0.027,0.027,0.018,,,,,,,,
27,Small wahoo,,,,0.015,,,,,,0.024,0.031,,,0.001,0.040,,,,,,,,0.050,0.021,,,,0.035,,,,,,,,
28,Small sharks,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,
29,Miscellaneous piscivores,,,,0.050,0.010,,,0.017,0.063,0.025,0.250,0.002,0.049,0.056,0.040,,,0.026,,0.017,0.007,0.020,0.150,0.100,,0.074,0.074,0.036,0.010,,,,,,,
30,Flyingfishes,0.550,,,0.020,0.070,,,0.050,,0.006,,,0.551,0.152,0.011,,0.012,0.050,0.030,,0.072,0.035,,,,0.439,0.150,0.010,0.050,,,,0.030,,,
31,Misc. epipelagic fishes,0.050,0.050,0.114,0.090,0.088,0.176,0.050,0.285,0.093,0.060,0.073,0.273,0.064,0.130,0.392,0.150,0.312,0.538,0.250,0.200,0.372,0.218,0.130,0.200,0.660,0.118,0.480,0.184,0.430,,0.040,,0.250,0.100,,
32,Misc. mesopelagic fishes,0.050,0.300,,0.038,0.158,0.541,,0.048,0.090,,0.369,0.005,0.146,0.073,0.011,,0.176,0.010,0.010,,0.252,,0.575,0.419,0.121,0.030,,0.070,,,,,0.420,0.070,,
33,Cephalopods,0.350,,0.020,0.646,0.597,0.253,0.050,0.036,0.713,0.095,0.090,0.604,0.107,0.125,0.115,0.050,0.303,0.250,0.030,0.007,0.180,0.132,0.100,0.102,0.234,0.146,0.120,0.097,0.060,,,,0.150,0.010,,
34,Crabs,,,0.026,,,0.020,0.100,0.008,0.020,,,,0.015,0.046,0.014,0.050,0.003,0.016,,0.100,0.010,0.020,,,,0.022,,0.012,0.180,,0.005,,0.030,,,
35,Mesozooplankton,,0.390,0.840,,0.006,,0.469,0.001,,,0.006,0.066,,,,0.450,0.069,0.009,0.482,0.003,0.002,,,0.030,0.106,,,,0.066,0.602,0.475,0.640,0.072,0.456,,
36,Microzooplankton,,0.260,,,0.001,,0.301,0.001,,,0.004,,,,,0.300,0.046,,0.146,,0.001,,,0.020,,,,,0.044,0.398,0.280,0.360,0.048,0.264,0.696,
37,Large phytoplankton,,,,,,,0.030,,,,,,,,,,,,,,,,,,,,,,,,0.200,,,0.100,0.304,
38,Small producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000
39,Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,1,1,1,1,1.022,0.978,1,1,1,1,1,1.001,1,1,1,0.425,1.575,1,1.121,0.909,0.97,1.07,0.93,1,1,1,1,1,1,1
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
