printed_name,accepted_name,group_name,source_page
Galeocerdo cuvier,Galeocerdo cuvier,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105799"
Gymnura. micrura,Gymnura micrura,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Leptocharias smithii,Leptocharias smithii,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105804"
Mustelus mustelus,Mustelus mustelus,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105822"
Pteromylaeus bovinus,Aetomylaeus bovinus,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105861"
Rhinobatos rhinobatos,Rhinobatos rhinobatos,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105898"
Rhinoptera bonasus,Rhinoptera bonasus,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 158544"
Rhinoptera marginata,Rhinoptera marginata,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105862"
Rhizoprionodon acutus,Rhizoprionodon acutus,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105802"
Rhynchobatus luebberti,Rhynchobatus luebberti,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 278219"
Squatina oculata,Squatina oculata,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105927"
Torpedo marmorata,Torpedo marmorata,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271684"
Zanobatus schoenleinii,Zanobatus schoenleinii,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 283210"
Dipturus doutrei,Dipturus doutrei,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 217390"
Etmopterus polli,Etmopterus polli,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271638"
Galeus polli,Galeus polli,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271364"
Raja maderensis,Raja maderensis,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105884"
Raja miraletus,Raja miraletus,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105886"
Rajella bigelowi,Rajella bigelowi,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105893"
Squalus megalops,Squalus megalops,Sélaciens M prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105925"
Dasyatis pastinaca,Dasyatis pastinaca,Sélaciens M côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105851"
Mobula rochebrunei,Mobula hypostoma,Sélaciens M côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271483"
Rhinobatos albomaculatus,Rhinobatos albomaculatus,Sélaciens M côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271593"
Torpedo torpedo,Torpedo torpedo,Sélaciens M côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271691"
Istiophorus albicans,Istiophorus albicans,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126949"
Katsuwonus pelamis,Katsuwonus pelamis,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127018"
Makaira indica,Istiompax indica,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 219728"
Makaira nigricans,Makaira nigricans,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126950"
Tetrapturus albidus,Kajikia albida,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126951"
Thunnus alalunga,Thunnus alalunga,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127026"
Thunnus albacares,Thunnus albacares,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127027"
Thunnus obesus,Thunnus obesus,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127028"
Xiphias gladius,Xiphias gladius,Thons majeurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127094"
Orcynopsis unicolor,Orcynopsis unicolor,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127019"
Scomberomorus tritor,Scomberomorus tritor,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127025"
Acanthocybium solandri,Acanthocybium solandri,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127014"
Auxis rochei,Auxis rochei,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127015"
Euthynnus alletteratus,Euthynnus alletteratus,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127017"
Auxis thazard,Auxis thazard,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127016"
Sarda sarda,Sarda sarda,Thons mineurs,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127021"
Albula vulpes,Albula vulpes,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 212256"
Alectis alexandrinus,Alectis alexandrina,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126799"
Caranx crysos,Caranx crysos,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126802"
Caranx hippos,Caranx hippos,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126803"
Caranx rhonchus,Caranx rhonchus,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126806"
Caranx senegallus,Caranx senegallus,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273274"
Chloroscombrus chrysurus,Chloroscombrus chrysurus,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159483"
Elops lacerta,Elops lacerta,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275405"
Elops senegalensis,Elops senegalensis,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275406"
Hemicaranx bicolor,Hemicaranx bicolor,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276352"
Lichia amia,Lichia amia,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126810"
Pomatomus saltatrix,Pomatomus saltatrix,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 151482"
Rachycentron canadum,Rachycentron canadum,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127006"
Selene dorsalis,Selene dorsalis,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126814"
Seriola dumerili,Seriola dumerili,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126816"
Sphyraena afra,Sphyraena afra,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273977"
Sphyraena guachancho,Sphyraena guachancho,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159814"
Sphyraena sphyraena,Sphyraena sphyraena,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127068"
Trachinotus goreensis,Trachinotus goreensis,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273291"
Trachinotus maxillosus,Trachinotus maxillosus,Côtier pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273294"
Engraulis encrasicolus,Engraulis encrasicolus,Côtier pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126426"
Hemiramphus brasiliensis,Hemiramphus brasiliensis,Côtier pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159279"
Ilisha africana,Ilisha africana,Côtier pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 281158"
Sardinella aurita,Sardinella aurita,Côtier pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126422"
Sardinella maderensis,Sardinella maderensis,Côtier pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126423"
Ethmalosa fimbriata,Ethmalosa fimbriata,Ethmalose,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 280725"
Ablennes hians,Ablennes hians,Pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159246"
Alectis ciliaris,Alectis ciliaris,Pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159629"
Coryphaena equiselis,Coryphaena equiselis,Pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126845"
Coryphaena hippurus,Coryphaena hippurus,Pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126846"
Megalops atlanticus,Megalops atlanticus,Pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126430"
Mola mola,Mola mola,Pel L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127405"
Cheilopogon cyanopterus,Cheilopogon cyanopterus,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 217862"
Cheilopogon nigricans,Cheilopogon nigricans,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 217861"
Decapterus punctatus,Decapterus punctatus,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126808"
Scomber japonicus,Scomber japonicus,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127022"
Selar crumenophthalmus,Selar crumenophthalmus,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159646"
Trachurus capensis,Trachurus capensis,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 218444"
Trachurus trecae,Trachurus trecae,Pel S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126823"
Pseudotolithus senegalensis,Pseudotolithus senegalensis,Bars,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127008"
Pseudotolithus senegallus,Pseudotolithus senegallus,Bars,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273787"
Pseudotolithus typus,Pseudotolithus typus,Bars,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127009"
Pseudotolithus elongatus,Pseudotolithus elongatus,Bars,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273784"
Pseudotolithus epipercus,Pseudotolithus epipercus,Bars,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273785"
Pseudotolithus moorii,Pseudotolithus moorii,Bars,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273786"
Polydactylus quadrifilis,Polydactylus quadrifilis,Gros capitaine,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276599"
Ephippion guttifer,Ephippion guttifer,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127413"
Argyrosomus regius,Argyrosomus regius,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127007"
Cynoponticus ferox,Cynoponticus ferox,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126295"
Dentex canariensis,Dentex canariensis,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273960"
Dentex gibbosus,Dentex gibbosus,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273964"
Epinephelus costae,Epinephelus costae,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127034"
Epinephelus itajara,Epinephelus itajara,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159353"
Fistularia petimba,Fistularia petimba,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159439"
Fistularia tabacaria,Fistularia tabacaria,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159440"
Lobotes surinamensis,Lobotes surinamensis,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126973"
Lutjanus agennes,Lutjanus agennes,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276520"
Lutjanus endecacanthus,Lutjanus endecacanthus,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276533"
Lutjanus fulgens,Lutjanus fulgens,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276535"
Lutjanus goreensis,Lutjanus goreensis,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276538"
Muraena melanotis,Muraena melanotis,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271901"
Muraena robusta,Muraena robusta,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271903"
Psettodes belcheri,Psettodes belcheri,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276823"
Trichiurus lepturus,Trichiurus lepturus,Côtier L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127089"
Batrachoides liberiensis,Batrachoides liberiensis,Côtier M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 278665"
Bodianus speciosus,Bodianus speciosus,Côtier M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126959"
Gymnothorax mareei,Gymnothorax mareei,Côtier M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271847"
Halobatrachus didactylus,Halobatrachus didactylus,Côtier M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126374"
Holacanthus africanus,Holacanthus africanus,Côtier M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276011"
Naucrates ductor,Naucrates ductor,Côtier M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126811"
Arius gigas,Carlarius gigas,Mâchoiron,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275573"
Arius heudelotii,Carlarius heudelotii,Mâchoiron,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275574"
Arius latiscutatus,Carlarius latiscutatus,Mâchoiron,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275576"
Arius parkii,Carlarius parkii,Mâchoiron,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275583"
Ephippus goreensis,Ephippus goreensis,Disques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 280692"
Chaetodipterus lippei,Chaetodipterus lippei,Disques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276411"
Drepane africana,Drepane africana,Disques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 277898"
Acanthurus monroviae,Acanthurus monroviae,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126750"
Aluterus schoepfii,Aluterus schoepfii,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159490"
Liza dumerili,Chelon dumerili,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 218885"
Liza falcipinnis,Neochelon falcipinnis,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273639"
Liza grandisquamis,Parachelon grandisquamis,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273640"
Mugil bananensis,Mugil bananensis,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273647"
Sarpa salpa,Sarpa salpa,Mulets,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127064"
Galeoides decadactylus,Galeoides decadactylus,Petit capitaine,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126997"
Bothus podas,Bothus podas,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127129"
Cynoglossus canariensis,Cynoglossus canariensis,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274196"
Cynoglossus monodi,Cynoglossus monodi,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274214"
Cynoglossus senegalensis,Cynoglossus senegalensis,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274226"
Dicologlossa hexophthalma,Dicologlossa hexophthalma,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274298"
Diodon hystrix,Diodon hystrix,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127403"
Diplodus puntazzo,Diplodus puntazzo,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127052"
Lethrinus atlanticus,Lethrinus atlanticus,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 278633"
Plectorhinchus macrolepis,Plectorhinchus macrolepis,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273490"
Pomadasys incisus,Pomadasys incisus,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126947"
Pomadasys jubelini,Pomadasys jubelini,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273507"
Pomadasys perotaei,Pomadasys perotaei,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273510"
Pomadasys rogerii,Pomadasys rogerii,Côtier M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273513"
Citharus linguatula,Citharus linguatula,Côtier S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127130"
