taxon,EwE_Ecobase_412_GulfOfThailande_1963
Seriolina nigrofasciata,Scad
Serranidae,Grouper/snapper
Siganidae,Med.dem.benth.
Siganus,Med.dem.benth.
Siganus canaliculatus,Sm.dem.benth.
Sillago,Med.dem.benth.
Solenocera crassicornis,Shrimps
Sparidae,Med.dem.benth.
Sphyraena,Lg. piscivores
Sphyraena barracuda,Lg. piscivores
Sphyraena obtusata,Med.dem.pisc.
Sphyraenidae,Med.dem.pisc.
Sphyrna,Sharks
Sphyrna lewini,Sharks
Sphyrnidae,Sharks
Spratelloides,Sm. pelagics
Stolephorus,Sm. pelagics
Stromateidae,Sm.dem.benth.
Synodontidae,Med.dem.pisc.
Tegillarca granosa,Molluscs
Tenualosa toli,Sm. pelagics
Terapon,Med.dem.benth.
Terapon theraps,Sm.dem.benth.
Tetraodontidae,Unresolved
Tetrapturus angustirostris,Unresolved
Teuthida,Cephalopods
Thenus orientalis,"Crab, lobster"
Thryssa,Sm. pelagics
Thunnus,Tuna
Thunnus alalunga,Tuna
Thunnus albacares,Tuna
Thunnus obesus,Tuna
Thunnus tonggol,Tuna
Trichiuridae,Lg. piscivores
Trichiurus,Lg. piscivores
Trichiurus lepturus,Lg. piscivores
Trochus niloticus,Molluscs
Upeneus,Sm.dem.benth.
Veneridae,Molluscs
Xiphias gladius,Unresolved
