seq,group_name,taxon_descr
24,Côtier M inv,Bothus podas; Cynoglossus canariensis; Cynoglossus monodi; Cynoglossus senegalensis; Dicologlossa hexophthalma; Diodon hystrix; Diplodus puntazzo; Lethrinus atlanticus; Plectorhinchus macrolepis; Pomadasys incisus; Pomadasys jubelini; Pomadasys perotaei; Pomadasys rogerii (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
25,Côtier S pred,Citharus linguatula; Eucinostomus melanopterus; Monodactylus sebae; Pteroscion peli; Stromateus fiatola; Scorpaenoidae (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
26,Capitaine royal,Pentanemus quinquarius (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
27,Côtier S inv,Abudefduf saxatilis; Brachydeuterus auritus; Dicologlossa cuneata; Oblada melanura; Chromis chromis; Gerres nigri; Labrisomus nuchipinnis; Pegusa spp; Trachinus spp (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
28,Dem L pred,Cephalopholis taeniops; Epinephelus aeneus; Epinephelus fasciatus; Epinephelus goreensis; Epinephelus caninus; Epinephelus marginatus; Merluccius polli; Merluccius senegalensis; Pagrus caeruleostictus; Pagrus pagrus; Solitas gruveli; Umbrina ronchus; Zeus faber; Congridae (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
29,Dem L inv,Dactylopterus volitans; Echeneis naucrates; Sparus auratus; Umbrina canariensis (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
30,Dem M pred,Aulopus cadenati; Chelidonichthys lucerna; Dentex macrophthalmus; Dentex maroccanus; Lophiodes kempi; Priacanthus arenatus; Rypticus saponaceus; Scorpaena elongata; Serranus cabrilla; Sphoeroides pachygaster; Trachinocephalus myops; Trachinus armatus; Zenopsis conchifer (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
31,Dem M inv,Mugil curema; Balistes carolinensis; Balistes punctatus; Balistes vetula; Boops boops; Chelidonichthys gabonensis; Chelidonichthys lastoviza; Pagellus bellottii; Plectorhinchus mediterraneus; Pseudupeneus prayensis; Scarus hoefleri; Xyrichtys novacula (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
32,Dem S pred,Antennarius pardalis; Apogon imberbis; Arnoglossus imperialis; Bembrops heterurus; Chlorophthalmus agassizi; Pontinus accraensis; Solitas gruveli; Uranoscopus polli (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
33,Dem S inv,Antigonia capros; Ariomma bondi; Chilomycterus spinosus; Chromis cadenati; Sargocentron hastatus; Sphoeroides spengleri; Stephanolepis hispidus; Syacium micrurum; Synchiropus phaeton (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
34,Bathy L pred,Alepocephalus rostratus; Bathysaurus ferox; Epigonus telescopus; Gempylus serpens; Helicolenus dactylopterus dactylopterus; Hoplostethus mediterraneus; Lepidocybium flavobrunneum; Lophius vaillanti; Nemichthys scolopaceus; Polyprion americanus; Pontinus kuhlii (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
35,Bathy S pred,Aristostomias xenostoma; Astronesthes spp; Chauliodus schmidti; Eustomias spp; Sternoptyx spp; Stomias affinis; Stomias lampropeltis (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
36,Bathy SM inv,Ariomma melanum; Bathygadus melanobranchus; Bathymicrops regis; Bathypterois spp; Diretmichthys parini; Nezumia spp; Scopelosaurus lepidus; Serrivomer spp; Stomias longibarbatus; Trigla lyra (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
37,Mésopélagiques,Myctophidae divers; Benthosema glaciale; Cyclothone spp; Diaphus spp (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
38,Céphalopodes,"Commercial and noncommercial octopus, cuttlefish and squid; catches dominated by Sepia spp. (source p.125)."
39,Crustacés,"Commercial and noncommercial lobsters, shrimp and crabs (source p.125)."
40,Benthos,"Macrobenthic bivalves, other molluscs, polychaetes, echinoderms and crustaceans other than those in Crustacés (source p.126)."
41,Zool L,"Carnivorous zooplankton: euphausiids, appendicularians and chaetognaths as classified by the source p.125; preserve the author's grouping."
42,Zool S,"Herbivorous zooplankton: copepods, cladocerans, invertebrate larvae and unidentified organisms as classified by source p.125."
43,Producteurs primaires,Phytoplankton primary producers; source p.125 explicitly says information on aquatic plants was unavailable.
44,Detritus,Detritus; nonliving organic material.
