taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Pectinidae,Scallops,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Scyphozoa,True jellyfishes,Jellyfish,Other fishes & inverts,Other invertebrates,,high,inherited_mapping,"Cnidaria (scyphozoan jellyfish); Table S1 gives 'Cnidaria' as this group's composition and the 24-group model has no separate jellyfish/cnidarian group, so jellyfish taxa fall here unambiguously."
Pleuronectidae,Righteye flounders,Small to medium flatfishes (<90 cm),Flatfishes,Benthivores,,medium,inherited_mapping,"Righteye flounder family; classic benthic invertebrate-feeding flatfish, trophic level (3.49) somewhat above the Benthivores band but the closest ecological fit among the model's guilds. The model has no dedicated flatfish group."
Muraenesox cinereus,Daggertooth pike conger,Large demersals (>=90 cm),Other fishes & inverts,Piscivores,,high,inherited_mapping,"Exact species (Muraenesox cinereus) / its family, listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Pennahia argentata,Silver croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Table S1 lists this exact spelling ('Pennahia argentata') under Piscivores, but also separately lists 'Pennahia argentatus' (almost certainly the same species) under Benthivores/piscivores -- an internal inconsistency in the supplement flagged in the EwE Taxonomy sheet. Assigned to Piscivores on the exact spelling match, but confidence is downgraded from green given the conflicting listing. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),Cod-likes,Unresolved,,unresolved,none,Cod is not part of this model's 24-group structure and is not a characteristic East China Sea shelf species; likely marginal/incidental catch with no defensible group fit.
Monacanthidae,Filefishes,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,Unresolved,,unresolved,none,"Filefish family spans multiple groups depending on genus (Aluterus -> Planktivores/piscivores, Stephanolepis -> Benthivores); the family-level row carries no further identifying information."
Pampus,Silver pomfrets,Medium benthopelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,"Exact species (P. chinensis, P. argenteus) / genus listed in Table S1 under this group."
Bivalvia,Clams,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Trachysalambria curvirostris,Southern rough shrimp,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Accepted-name synonym of Table S1's 'Trachypenaeus curvirostris' (Shrimps); WoRMS treats Trachysalambria as the current genus for this species.
Nemipterus,Threadfin breams,Small demersals (<30 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Exact species (N. virgatus) / genus / family listed in Table S1 under this group.
Scomberomorus,Spanish mackerels,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,inherited_mapping,"Genus Scomberomorus has two exact species (S. niphonius, S. guttatus) in Table S1's Piscivores membership. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Portunus trituberculatus,Gazami crab,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,Exact species listed in Table S1 under Crabs.
Octopoda,"Octopuses, argonauts",Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Sepiida,"Cuttlefishes, bobtail squids",Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Larimichthys crocea,Large yellow croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Large yellow croakers,,high,inherited_mapping,Exact species; dedicated group.
Scomberomorus niphonius,Japanese Spanish mackerel,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,inherited_mapping,"Genus Scomberomorus has two exact species (S. niphonius, S. guttatus) in Table S1's Piscivores membership. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Planiliza haematocheilus,So-iny mullet,Medium demersals (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Mullet; benthic/detritivorous grazer with a low reported trophic level (2.1-2.5), closest among the model's guilds to Benthivores (2.848-2.876) even though the match is not exact."
Teuthida,Squids,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Penaeus chinensis,Fleshy prawn,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Penaeid shrimp; Table S1's Shrimps membership is dominated by Penaeidae/Dendrobranchiata genera (Solenocera, Parapenaeus, Metapenaeus, Parapenaeopsis, Metapenaeopsis), so this suborder/family is an unambiguous taxonomic fit."
Oncorhynchus,"Salmons, trouts",Large benthopelagics (>=90 cm),"Salmon, smelts, etc",Unresolved,,unresolved,none,"Salmonids are anadromous cold-water fish, not represented in this model's structure and not characteristic of the ECS; likely marginal/incidental catch with no defensible group fit."
Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),Perch-likes,Unresolved,,unresolved,none,"Jack family spans at least two of the model's groups depending on genus (Decapterus/Trachurus -> Planktivores/piscivores, Caranx sexfasciatus -> Omnivores); the family-level row carries no further identifying information."
Psenopsis anomala,Pacific rudderfish,Small benthopelagics (<30 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Table S1 lists Psenopsis anomala under BOTH Planktivores/piscivores and Planktivores/Benthivores -- a source inconsistency flagged in the EwE Taxonomy sheet. Assigned here on trophic-level corroboration (reported TL 4.0 sits closest to Planktivores/piscivores, especially the M2018 value of 3.522) rather than treated as an unambiguous explicit match."
Squillidae,Squilla mantis shrimps,Shrimps,Crustaceans,Shrimps,,medium,inherited_mapping,"Mantis shrimp (Stomatopoda) are taxonomically distinct from the decapod shrimp Table S1 lists, but Sea Around Us's own functional_group bucket for these rows is 'Shrimps' and no stomatopod group exists in the model; placed by commercial/ecological analogy, not taxonomic containment."
Sparidae,"Porgies, seabreams",Medium benthopelagics (30 - 89 cm),Perch-likes,Omnivores,,medium,inherited_mapping,"Sparid seabream; the family's explicit Table S1 member (Acanthopagrus schlegelii, Omnivores) is a generalist benthic-invertebrate/omnivorous feeder, and reported trophic levels (3.31-3.97) are broadly consistent with this guild, though not an exact species/genus match."
Alepes,Crevalles,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Carangid jack; ecologically similar to the explicit Table S1 members Decapterus maruadsi and Trachurus japonicus (schooling, plankton- and small-fish-feeding pelagic predator), though this genus is not itself listed. Trophic level is broadly consistent with the group's band."
Sepiidae,Cuttlefishes,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Harpadon nehereus,Bombay-duck,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Bombay duck,,high,inherited_mapping,"Bombay duck is the model's dedicated single-species group for this exact species (the main text states Bombay duck, hairtails and the two croakers were split out as separate high-value groups); this taxon also appears once inside Table S1's printed Piscivores list, which is treated as a copy-paste duplication in the supplement rather than a second valid membership, since a species cannot be both its own dedicated group and a member of a guild group."
Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Cephalopoda,"Squids, cuttlefishes, octopuses",Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Nemipteridae,"Threadfins, whiptail breams",Small demersals (<30 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Exact species (N. virgatus) / genus / family listed in Table S1 under this group.
Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Trachurus japonicus,Japanese jack mackerel,Medium demersals (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Rhopilema esculentum,Flame jellyfish,Jellyfish,Other fishes & inverts,Other invertebrates,,high,inherited_mapping,"Cnidaria (scyphozoan jellyfish); Table S1 gives 'Cnidaria' as this group's composition and the 24-group model has no separate jellyfish/cnidarian group, so jellyfish taxa fall here unambiguously."
Mugil cephalus,Flathead grey mullet,Large benthopelagics (>=90 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Mullet; benthic/detritivorous grazer with a low reported trophic level (2.1-2.5), closest among the model's guilds to Benthivores (2.848-2.876) even though the match is not exact."
Dendrobranchiata,Shrimps and prawns,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Penaeid shrimp; Table S1's Shrimps membership is dominated by Penaeidae/Dendrobranchiata genera (Solenocera, Parapenaeus, Metapenaeus, Parapenaeopsis, Metapenaeopsis), so this suborder/family is an unambiguous taxonomic fit."
Pagrus major,Japanese seabream,Large demersals (>=90 cm),Perch-likes,Omnivores,,medium,inherited_mapping,"Sparid seabream; the family's explicit Table S1 member (Acanthopagrus schlegelii, Omnivores) is a generalist benthic-invertebrate/omnivorous feeder, and reported trophic levels (3.31-3.97) are broadly consistent with this guild, though not an exact species/genus match."
Decapoda,"Crabs, lobsters, shrimps","Lobsters, crabs",Crustaceans,Unresolved,,unresolved,none,Order-level taxon spanning both Crabs and Shrimps (and lobsters); no further information in this row distinguishes which group it belongs to.
Turbo cornutus,Horned turban,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Conger myriaster,Whitespotted conger,Medium demersals (30 - 89 cm),Other fishes & inverts,Benthivores/piscivores,,high,inherited_mapping,Family Congridae contains the exact Table S1 member Ariosoma anago (Benthivores/piscivores).
Congridae,"Conger, garden eels",Large demersals (>=90 cm),Other fishes & inverts,Benthivores/piscivores,,high,inherited_mapping,Family Congridae contains the exact Table S1 member Ariosoma anago (Benthivores/piscivores).
Seriola,Amberjacks,Large benthopelagics (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Amberjack; fast-swimming apex piscivorous predator, high reported trophic level (4.39-4.5) consistent with, if above, the Piscivores band. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Ilisha elongata,Elongate ilisha,Medium pelagics (30 - 89 cm),Herring-likes,Omnivores,,high,inherited_mapping,Exact species listed in Table S1 under Omnivores.
Sebastes,Redfishes,Large reef assoc. fish (>=90 cm),Scorpionfishes,Benthivores/piscivores,,medium,inherited_mapping,"True rockfish; ambush predator on benthic invertebrates and fish, with a markedly higher trophic level (3.74-3.92) than the family's other explicit member Chelidonichthys kumu (Triglidae/Benthivores, a crustacean-specialist gurnard), supporting a more piscivorous mixed-diet placement."
Epinephelus,"Seabasses, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Grouper; ambush piscivorous predator, and reported trophic level (3.84-4.16) sits within the Piscivores band (3.571-3.940), a close corroborating match. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Loliginidae,Common pencil squids,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Stromateidae,Butterfishes,Small benthopelagics (<30 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Table S1 lists Psenopsis anomala under BOTH Planktivores/piscivores and Planktivores/Benthivores -- a source inconsistency flagged in the EwE Taxonomy sheet. Assigned here on trophic-level corroboration (reported TL 4.0 sits closest to Planktivores/piscivores, especially the M2018 value of 3.522) rather than treated as an unambiguous explicit match."
Brachyura,Marine crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,"Brachyura (true crabs); Crabs is the model's only true-crab group and Table S1's membership (Portunus/Charybdis species) is entirely Brachyura, so any true crab is an unambiguous fit."
Octopodidae,Octopuses,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),Herring-likes,Unresolved,,unresolved,none,"Herring family spans at least two of the model's groups (Sardinella aurita -> Planktivores, Ilisha elongata -> Omnivores); the family-level row carries no further identifying information."
Ammodytes personatus,Pacific sandlance,Small demersals (<30 cm),Perch-likes,Planktivores,,medium,inherited_mapping,"Small schooling zooplanktivorous pelagic (round herring / sandlance); not an explicit Table S1 member, but ecology and reported trophic level are consistent with this guild. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Ruditapes philippinarum,Japanese carpet shell,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Dussumieria,Rainbow sardines,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Small schooling zooplanktivorous pelagic (round herring / sandlance); not an explicit Table S1 member, but ecology and reported trophic level are consistent with this guild. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Scombridae,"Mackerels, tunas, bonitos",Medium pelagics (30 - 89 cm),Perch-likes,Unresolved,,unresolved,none,"Mackerel/tuna family spans at least two of the model's groups depending on genus (Scomber -> Planktivores/Benthivores, Scomberomorus/Auxis -> Piscivores); the family-level row carries no further identifying information."
Paralichthyidae,Largetooth flounders,Small to medium flatfishes (<90 cm),Flatfishes,Piscivores,,medium,inherited_mapping,"Bastard halibut; despite being a flatfish, this species is a notably piscivorous ambush predator as an adult and carries a high reported trophic level (4.25), above even the Piscivores band, supporting a fish-eating placement over a generic benthic one. The model has no dedicated flatfish group. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,Unresolved,,unresolved,none,"Class/superorder spanning true sharks (-> Sharks) and rays/skates, which the model places by feeding ecology rather than taxonomy (see Narcine lingula, an explicit Benthivores member); too broad to place without finer identification."
Konosirus punctatus,Dotted gizzard shad,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Clupeidae filter-feeding planktivore; the family is split across guilds in this model (Sardinella aurita -> Planktivores vs. Ilisha elongata -> Omnivores), so genus-level ecological similarity to the Planktivores exemplar (obligate zooplankton filter-feeder) plus a lower reported trophic level (2.8-3.2, closer to Planktivores' 2.92-2.95 than Omnivores' 3.14-3.43) supports this placement over an exact taxonomic rule. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Auxis,Bullet and frigate tunas,Medium pelagics (30 - 89 cm),Tuna & billfishes,Piscivores,,high,inherited_mapping,"Genus of the exact Table S1 Piscivores member A. thazard. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Tetraodontidae,"Puffers, tobies",Large reef assoc. fish (>=90 cm),Other fishes & inverts,Benthivores/piscivores,,high,inherited_mapping,Family contains the exact Table S1 member Lagocephalus spadiceus (Benthivores/piscivores).
Pampus argenteus,Silver pomfret,Medium benthopelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,"Exact species (P. chinensis, P. argenteus) / genus listed in Table S1 under this group."
Priacanthus,Bigeyes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Genus of the exact Table S1 member P. macracanthus.
Synodontidae,"Lizardfishes, sauries",Medium demersals (30 - 89 cm),Other fishes & inverts,Piscivores,,high,inherited_mapping,"Exact species (Saurida tumbil) / its genus and family, listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Paralichthys olivaceus,Bastard halibut,Large flatfishes (>=90 cm),Flatfishes,Piscivores,,medium,inherited_mapping,"Bastard halibut; despite being a flatfish, this species is a notably piscivorous ambush predator as an adult and carries a high reported trophic level (4.25), above even the Piscivores band, supporting a fish-eating placement over a generic benthic one. The model has no dedicated flatfish group. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Coryphaena hippurus,Common dolphinfish,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,inherited_mapping,"Exact species listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Nemipterus virgatus,Golden threadfin bream,Medium demersals (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Exact species (N. virgatus) / genus / family listed in Table S1 under this group.
Salmonidae,Salmonids,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",Unresolved,,unresolved,none,"Salmonids are anadromous cold-water fish, not represented in this model's structure and not characteristic of the ECS; likely marginal/incidental catch with no defensible group fit."
Portunus pelagicus,Blue swimming crab,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,"Genus/family Portunus is explicitly represented in Table S1's Crabs membership (P. trituberculatus, P. sanguinolentus, P. argentatus), so congeners/family members are a direct taxonomic match."
Sardinella zunasi,Japanese sardinella,Small pelagics (<30 cm),Herring-likes,Planktivores,,high,inherited_mapping,"Congener of the explicitly listed Table S1 member Sardinella aurita (Planktivores). The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Charybdis,Whirlpool swimming crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,"Genus Charybdis has three species explicitly listed in Table S1 under Crabs (C. feriatus, C. bimaculata, C. acuta), so the genus is a direct taxonomic match."
Magallana gigas,Pacific cupped oyster,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Anadara,"Arks, blood cockles",Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Echinoidea,"Sea urchins, sea hedgehogs",Other demersal invertebrates,Other fishes & inverts,Echinoderms,,high,inherited_mapping,"Echinodermata; Table S1 lists Ophiuroidea as the group's example composition and Echinoderms is the model's only echinoderm group, so any echinoderm taxon is an unambiguous fit."
Decapterus maruadsi,Japanese scad,Small pelagics (<30 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Lateolabrax japonicus,Japanese seabass,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Japanese seabass; estuarine ambush predator on both benthic crustaceans and small fish, trophic level (3.36-3.78) fits this mixed-diet guild."
Priacanthus macracanthus,Red bigeye,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Exocoetidae,Flyingfishes,Small pelagics (<30 cm),Other fishes & inverts,Omnivores,,medium,inherited_mapping,"Flying fish; surface feeder on zooplankton with some omnivorous tendency, trophic level (3.4-3.7) fits the Omnivores band."
